seller_id,type,kosis_category,status,mape_val,mape_test,smape_val,smape_test,wape_val,wape_test
k_adcf5047_0,other,스포츠·레저용품,ok,41.44238243020072,25.952940265142573,144.77633463052865,23.486592756217274,188.22260156576186,23.40174125468493
k_11305281_0,other,생활용품,ok,19.726118497939037,25.463959653243734,77.97765983859315,25.325246842931037,53.210064972305226,25.58268005932476
k_7b1222c3_0,other,아동·유아용품,ok,11.192337005477361,52.2309224080892,74.57088091250964,77.78671220802794,72.8633096389725,62.49290787848027
k_679769a9_1,other,화장품,ok,70.09876135184466,90.91729201419997,116.57309937423706,112.83617311970431,74.67998694973218,87.05864309609116
k_5c853bb5_1,other,가구,ok,37.96155752139805,84.76852506035858,37.37537412745582,182.37579336418895,37.449051044494674,158.6907832376617
k_8a40ae79_1,other,통신기기,ok,33.50333923080464,64.6900199201631,146.74835282022,65.8897551219659,91.75946407597718,65.48395293096223
k_c0312193_0,other,서적,ok,45.689020989132345,14.686207956531849,34.97539239114118,16.37050772754413,37.38916061259408,14.652476886417645
k_dbbcfe2c_1,other,스포츠·레저용품,ok,6076.459769066878,49.59292703509497,197.87566019317993,52.134027902861845,17972.362968103393,48.43451707479222
k_86bb7c4b_0,other,아동·유아용품,ok,68.89611878476859,93.00123443003719,110.7730039742875,175.0638605128236,65.93369007483295,93.24157199325948
k_e5e33c0d_0,other,자동차 및 자동차용품,ok,122.48819035770111,499.0892779740018,69.83003799356152,115.86193740840771,105.43461408230648,259.9697746826981
k_f25e2390_1,other,애완용품,ok,91.49682175041161,74.60292431356962,138.76206800495993,116.74350849117738,106.85480847095693,75.97121367934653
k_ff4e2d38_0,other,서적,ok,51.19888757389006,74.0624942635557,116.51631120270306,172.53928384583062,92.82737096695188,137.18215701738893
k_01cf7e3d_0,other,가전·전자,ok,55.21055937961534,57.476498690340705,77.44473738481396,160.21848942440357,55.06718641304252,116.23866610349647
k_9a84ba99_1,other,스포츠·레저용품,ok,42.249835969645424,82.97970002588158,56.30903088050959,180.6070115152296,44.860972074084216,123.14593669884727
k_184a67a8_0,other,가구,ok,141.1332776312685,49.57596955086544,59.8430190570776,155.30498657820473,50.10451396320549,243.62277928435822
k_b080809e_0,other,서적,ok,75.0674582699452,66.0081523641074,148.89362219098388,136.94190228825062,81.00961112961727,81.81970258254225
k_bd697db5_1,other,자동차 및 자동차용품,ok,432.8849819492976,1006.521210839828,146.60134808591238,165.22829094772123,544.8130606832626,760.3919816376331
k_afa6714a_0,other,아동·유아용품,ok,49.36166029434761,89.34696444892865,96.07644023998448,102.47351316131483,81.78868418613625,104.90785702177783
k_ab9db4cf_1,other,음·식료품,ok,74.69026362207117,10.854399676464421,173.0696782660253,73.27158744030095,198.09929432603326,41.448468988211964
k_439a47cc_0,other,생활용품,ok,41.36381962583669,18.62998551403152,144.75835958345897,24.026251346518112,471.14996522666735,21.80999107394999
k_57989161_0,other,서적,ok,18.515342326372565,120.81604183177038,138.9821639460959,158.43931850413807,191.9555536585184,515.2683494218265
k_404e1ba0_1,other,애완용품,ok,,34.90977945476615,200.0,29.436079124337546,,34.13182699750228
k_edd066cd_0,other,생활용품,ok,79.22561793779565,72.08876602329957,148.03811114020672,85.56746346310406,77.65418097476916,68.47177455349089
k_5b179e9e_0,other,생활용품,ok,74.646391106251,78.92864505796929,173.03243827069608,132.12370623599844,103.69713315008002,82.48758213356959
