seller_id,active_cv,active_trend_slope,active_trend_r2,seasonality_strength,active_zero_ratio,global_zero_ratio,log_avg_active_rev,spike_ratio,active_months_ratio,n_active,mean_active_rev,cluster,seller_type,pca1,pca2,dist_to_center
0307f7565ff85b299b6e5ef162b1b1a9,1.4740641563130177,0.2410654280559658,0.14040946811889435,0.999999999988482,0.5,0.8333333333333334,6.380101350234651,3.765784503002767,0.16666666666666666,8,588.9875,0,불안정형 (Volatile),1.713700248641592,-0.45915768325585515,2.0677970759388296
034b9387752bfa309f350a70cd45ffa3,0.8477912474491004,-0.2499999998697917,0.17391304347826092,0.9999999993856584,0.2,0.8333333333333334,3.005682604407159,2.4999999986979167,0.16666666666666666,5,19.2,1,계절형 (Seasonal),0.5564232076303621,-1.6025074807507653,2.661120687290761
039b29ff3b3473435d0cd59040575de9,0.7143822403724177,0.32898172309443785,0.42414293644267786,0.9999999993908568,0.0,0.7916666666666666,3.177220149599368,2.4020887718006576,0.20833333333333334,5,22.98,3,성장형 (Growth),-0.533358546912828,-1.5744262501763207,2.5702595972758084
039e6ad9dae79614493083e241147386,0.7862199828464421,-0.48882011605264586,0.4831922912203494,0.9999999999960638,0.25,0.875,8.080933768134663,2.0054158607288035,0.125,4,3231.25,3,성장형 (Growth),-1.0712689873028454,-0.6231763575796742,3.242837957735002
03a2a6dcbe45d639c4dc2a0d24769c40,0.8530832399507863,-0.1393559565791265,0.07783143763584874,0.9999999999347807,0.3333333333333333,0.8333333333333334,5.197031870043349,2.36943277589955,0.16666666666666666,6,179.735,1,계절형 (Seasonal),0.3741757263087395,-0.9093176398850675,1.5176624523476798
0417b067eeab773d2f7061a726dc477f,1.0343508787285327,0.2411699166836,0.1585613334812664,0.9999999999687994,0.16666666666666666,0.7916666666666666,5.739353372937921,3.072225389588779,0.20833333333333334,6,309.86333333333334,1,계절형 (Seasonal),0.1577355427033112,-0.4728174545799331,1.4505451842367438
04308b1ee57b6625f47df1d56f00eedf,0.9021524778325182,0.09747651625319798,0.09631502789704317,0.9999999999981211,0.1,0.625,8.682738137903012,2.756196623932892,0.375,10,5899.179999999999,1,계절형 (Seasonal),-1.0291950337425126,1.0396858731773388,2.4135863783488856
0432ead42b6c8a0bdf68154add917fdf,0.8719510169830075,-0.15636385098702976,0.6833567254598573,0.5402096797880864,0.125,0.4166666666666667,6.162050847683516,3.3149556399806728,0.5833333333333334,16,473.40000000000003,2,안정형 (Stable),-0.301818923090812,2.249781483104407,2.782029114601506
048c2757535328e0d7dac690ad3c0aae,0.5221886964419518,0.029558846991772587,0.0862464686320067,0.7412749272426898,0.05555555555555555,0.2916666666666667,6.2237968632299285,1.8313572521886574,0.7083333333333334,18,503.61555555555555,2,안정형 (Stable),-1.227873326090743,2.339690928440354,1.2034083193957952
04aa0a1c5ce6b222003403a3e11c3cc0,1.546966551690872,-0.09414642986401667,0.037037858178456,0.9999999999871136,0.36363636363636365,0.7083333333333334,6.219866973539562,4.804276911828838,0.2916666666666667,11,501.6363636363636,0,불안정형 (Volatile),1.9684302932457771,0.22592997875785728,1.6617500509106438
04aba03279157f6d4e0fe8ccaf21963c,0.9976178810783557,-0.011258278144949781,0.0027062906246557235,0.9835767165312668,0.375,0.5833333333333334,5.0238805208462765,3.576158940160519,0.4166666666666667,16,151.0,1,계절형 (Seasonal),1.1184557885696298,0.16284921700729255,1.8241516926627952
04e38a233f726ef161074ab1c9b0399a,0.9442194545778779,-0.12596308994419458,0.11864500621718105,0.9999999999038758,0.2222222222222222,0.7083333333333334,4.711130521717886,2.546793061487282,0.2916666666666667,9,110.17777777777778,1,계절형 (Seasonal),0.31066233897603335,-0.5920609802445749,1.2266335826296522
04fdea0c111866e6cf812f1570d6b5bd,0.5776588373215972,0.4878612716537405,0.8915790527685992,0.999999999919948,0.0,0.8333333333333334,5.381048764145501,1.7572254334447526,0.16666666666666666,4,216.25,3,성장형 (Growth),-1.9175875183722748,-1.6400594954973795,2.2195187269184813
0509040ea3fe50071181bbc359eb7738,0.7988560931500223,-0.023405812755735483,0.018241866918931777,1.0442948310603957,0.0,0.3333333333333333,5.444944277965258,3.0620027916869033,0.6666666666666666,16,230.58437500000002,1,계절형 (Seasonal),-0.5588739250420828,0.9906914969245058,1.947413011006725
054694fa03fe82cec4b7551487331d74,1.186989174121263,-0.12368012482750057,0.23070937791700008,0.7781231886250388,0.375,0.5833333333333334,6.251675051590951,4.701850086198296,0.4166666666666667,16,517.88125,0,불안정형 (Volatile),1.4693158344093085,1.2977626267029854,2.3717474544556656
056b4ada5bbc2c50cc7842547dda6b51,0.6295372728035158,0.16625682186808902,0.4649698501203469,0.999999999988285,0.0,0.625,7.212982530649667,2.275782978497401,0.375,9,1355.9333333333334,3,성장형 (Growth),-1.780377749085679,0.14900588693304553,1.8345481665011851
058cb5aeb36d7c0fcae20fc85d5e0a59,1.3522982975440494,0.12903116299921824,0.10849232400865817,0.9999999999282055,0.5,0.75,4.6443908991413725,4.6504854364417,0.25,12,103.0,0,불안정형 (Volatile),2.32352255524752,-0.5911899846753952,0.868830827592549
058fd0aa2bfdb2274e05e1ae971dabb6,0.8155534258761811,-0.0022914210783914943,7.894142736894893e-05,0.9999999999821352,0.0,0.5416666666666666,6.532850236908651,3.1004384163576937,0.4583333333333333,11,686.3545454545455,1,계절형 (Seasonal),-0.6665090826756309,0.8480197468975966,1.252205453124427
05a940b4ecae36cadfd8e93bd9c43257,1.032409127309465,0.022894958585029664,0.0025818758609834776,0.9999999998885216,0.25,0.75,4.47605758752528,2.8991512009323377,0.25,8,86.8875,1,계절형 (Seasonal),0.778812267964168,-0.6314311325028892,1.5531076797191794
05d2173d43ea568aa0540eba70d2ca76,0.9665077311198249,0.0032471322303726153,0.00013450674887970193,0.9999999999784435,0.08333333333333333,0.5416666666666666,6.1758083633118845,3.135830934399548,0.4583333333333333,12,479.97166666666664,1,계절형 (Seasonal),-0.15173203684926032,0.7083979360896955,1.1102219459787184
05f51e13da97139648b8125c31e5f51b,0.9690696532472433,-0.21737428350782817,0.3354401785729133,0.9999999999929108,0.2222222222222222,0.7083333333333334,7.283853366457489,2.7230813621780645,0.2916666666666667,9,1455.5900000000001,1,계절형 (Seasonal),-0.4164922602382738,-0.017174151124088904,1.906179575644842
05feb94f19d094d4b0f9281f0b1d4c99,0.425721664697061,0.022773441676297003,0.01144631849698477,0.9999999999824198,0.14285714285714285,0.75,7.198290420416324,1.2633379664184292,0.25,7,1336.142857142857,1,계절형 (Seasonal),-1.5788735210635814,-0.0032284531666962883,1.7231669283205775
05ff92fedb5be47920fea08e501238b9,0.9149014766589557,0.015896455834774843,0.013283258824054478,0.5488159737655343,0.17391304347826086,0.20833333333333334,6.829040457393447,3.8314596264979883,0.7916666666666666,23,923.3034782608697,2,안정형 (Stable),0.37207795764202056,3.9025746571578646,1.748629333473421
