seller_id,type,mape_val,mape_test,status
k_4e85b538_1,volatile,97.47170120188706,57.347505305952225,ok
k_b98b715f_0,volatile,,,skipped
k_4305fe92_1,volatile,100.15815269902906,110.38188297167709,ok
k_ab9db4cf_0,volatile,7.040060369583568,21.983960713071628,ok
k_fce62094_1,volatile,93.67490893915033,66.03606773262791,ok
k_989becdc_1,volatile,464.3260580722651,274.8943879487058,ok
k_a478c796_0,volatile,151.3462927738307,4.661644925370668,ok
k_35fb5114_1,volatile,,88.24432724290381,ok
k_07017df3_0,volatile,,,skipped
k_612a743d_0,volatile,,,skipped
k_1f7fd2a6_0,volatile,,,ok
k_700f03c2_1,volatile,30.61141630263558,83.06536623448815,ok
k_94b9108d_1,volatile,71.10264815497828,63.763582691421036,ok
k_6f229cc5_1,volatile,,107.87316628779031,ok
k_6989574b_1,volatile,208.50656226924124,44.183641175820156,ok
k_989becdc_0,volatile,,89.11421588256094,ok
k_26223717_1,volatile,,82.65777147936655,ok
k_a4bd6e9a_1,volatile,310.7008159696805,31.622602297875456,ok
k_2f73e04d_1,volatile,,65.15696105327238,ok
k_b37c4c02_0,volatile,26.62629759249485,26.4633392191065,ok
k_b98b715f_1,volatile,102.40345766732514,,ok
k_4305fe92_0,volatile,114.56269254022344,131.27475372240653,ok
k_9c3c24ec_1,volatile,45.50908460229252,42.92871456135521,ok
k_a4bd6e9a_0,volatile,432.5260509242346,69.42160193484287,ok
k_91987866_1,volatile,76.0625162432331,70.49518551976671,ok
k_252e7623_0,volatile,7.276394577674905,38.113553874144166,ok
k_5b33b527_0,volatile,115.31887311318832,628.5418934487741,ok
k_b1204cfd_0,volatile,119.31968276961513,23.971229415505345,ok
k_56db5c07_1,volatile,23.20544543032927,349.9086777764183,ok
k_252e7623_1,volatile,35.82781480789694,69.65454476837537,ok
k_612a743d_1,volatile,4.121612746165923,,ok
