#{"t_start": 1779091296.1680708, "env_id": "None"}
r,l,t
-17.10336,19,4.014041
-10.331438,18,4.016004
-28.666402,23,4.018322
-18.581598,19,4.020251
-27.071561,23,4.022536
-10.854418,17,4.024253
-26.405604,23,4.026549
-18.465456,18,4.028368
-12.996418,24,4.030815
-15.936225,19,4.032719
-26.814247,24,4.035052
-13.474253,20,4.037047
-26.418091,22,4.039251
-27.201806,24,4.041603
-25.218648,21,4.043847
-20.431347,17,4.045642
-21.326391,24,4.048126
-7.544112,12,4.049424
-26.325005,23,4.051786
-22.38653,23,4.05418
-15.677534,15,4.05587
-20.900012,19,4.057892
-21.733118,17,4.059687
-22.050468,18,4.061572
-25.899114,20,4.063655
-12.261421,15,4.065234
-17.666006,18,4.067074
-9.167893,24,4.069556
-25.363896,22,4.071792
-20.523755,18,4.073652
-23.387745,24,4.076098
-12.995146,17,4.077852
-20.70053,22,4.080086
-29.504122,24,4.082622
-12.195016,18,4.084521
-28.109295,22,4.086807
-29.584123,24,4.089274
-17.277105,24,4.091764
-24.588908,19,4.09375
-25.186881,21,4.095996
-24.304742,21,4.098189
-12.750485,20,4.100236
-30.143489,24,4.102655
-17.204263,17,4.104418
-21.417641,19,4.106385
-17.663386,24,4.331557
-24.780421,20,4.333705
-19.896864,17,4.335454
-27.874222,24,4.338116
-25.421875,20,4.340163
-20.862518,24,4.342584
-24.661611,19,4.344498
-20.077826,23,4.346789
-24.293082,21,4.348881
-14.614288,19,4.350863
-6.749596,13,4.352206
-5.425971,8,4.353084
-28.026956,23,4.35536
-18.578098,21,4.357415
-26.006687,20,4.359446
-13.196017,13,4.360791
-22.699921,19,4.362804
-20.555772,16,4.364437
-18.534204,20,4.366469
-20.502534,17,4.368194
-27.179883,21,4.37028
-12.189607,18,4.372077
-26.113507,20,4.37407
-16.742293,24,4.376695
-24.391682,20,4.378937
-14.478977,15,4.380587
-9.532266,14,4.382125
-20.344832,16,4.383856
-9.183101,10,4.384951
-15.925976,18,4.386842
-23.006519,18,4.388728
-11.816399,18,4.390658
-21.78079,19,4.392721
-16.827494,15,4.394319
-30.745181,24,4.396832
-14.680006,23,4.399232
-24.172557,19,4.401226
-20.116358,22,4.4036
-21.84487,24,4.406072
-22.486622,21,4.408194
-15.288335,23,4.410501
-22.912366,20,4.412501
-26.969061,24,4.414865
-24.282604,22,4.417255
-18.665437,16,4.418937
