#{"t_start": 1780031485.44627, "env_id": "None"}
r,l,t
-5.961309,11,40.880651
-8.700062,9,40.909869
-12.025187,11,40.945565
-13.872995,13,40.987985
-21.865739,17,41.043887
-17.321646,21,41.121194
-13.840052,12,41.163466
-6.857451,12,41.203939
-8.931607,9,41.234256
-13.053555,18,41.293191
-2.798967,8,41.319716
-2.460391,6,41.339552
-12.129289,11,41.375988
-16.907056,20,41.440986
-29.120734,22,41.51364
-9.268474,11,41.550444
-25.027172,20,41.618161
-17.130843,14,41.664481
-12.198413,15,41.713316
-12.556974,12,41.752492
-10.425748,10,41.784941
-11.048068,18,41.843215
-15.583551,13,41.885859
-12.53252,19,41.947633
-13.811958,12,41.986768
-7.495762,10,42.019355
-6.411478,11,42.055428
-10.587102,10,42.088326
-1.848745,5,42.104807
-10.486848,13,42.147039
-14.112866,12,42.186605
-11.480435,18,42.245375
-7.563435,10,42.278425
-7.210222,8,42.305223
-8.867694,9,42.335144
-2.571996,8,42.361825
-23.140505,18,42.420715
-18.129778,19,42.483187
-15.615468,19,42.546453
-20.036357,18,42.606519
-15.508187,22,42.679011
-15.232638,15,42.72792
-20.327782,16,42.780303
-17.57999,16,42.832985
-12.452835,12,42.872244
-15.54865,13,42.915145
-2.169646,6,42.934704
-16.914572,15,42.983614
-17.901082,16,43.039286
-16.825363,20,43.10785
-5.998758,8,43.134157
-9.284736,10,43.168745
-23.862472,18,43.229003
-17.261244,16,43.281906
-17.194774,15,43.331172
-7.758036,10,43.364034
-8.392595,24,43.44232
-26.21326,20,43.5076
-13.669665,12,43.54747
-15.759927,14,43.593656
-9.876785,12,43.633828
-9.463953,12,43.673586
-18.727064,15,43.722923
-20.508696,16,43.77561
-9.631332,13,43.818397
-25.604795,19,43.88041
-10.751124,11,43.916471
-20.569685,16,43.969339
-24.82695,19,44.031944
-8.025334,11,44.068537
-18.865924,17,44.125111
-12.578874,24,44.204574
-13.887153,12,44.244528
-17.228825,14,44.291058
-9.699102,24,44.370998
-31.84144,24,44.449785
-2.801401,15,44.499606
-4.046618,6,44.519244
-13.941134,12,44.558953
-12.546373,14,44.605128
-0.625966,4,44.618221
-18.992573,21,44.685633
-9.236276,10,44.718206
-18.84311,15,44.766755
-31.287335,24,44.844207
-11.132536,11,44.880024
0.661809,5,44.896555
-10.593359,10,44.929329
-6.039295,9,44.959629
-6.332866,14,45.005625
-13.055753,24,45.084899
-15.481977,13,45.128024
-20.308722,18,45.187261
-13.497077,18,45.246124
-17.264456,14,45.291936
-12.498928,12,45.330957
-8.80222,9,45.360627
-25.385996,19,45.423028
-19.040633,15,45.472165
-20.911016,20,45.536807
-13.897221,17,45.593695
-12.336233,11,45.629768
-27.870452,21,45.698531
-14.099754,13,45.740863
-9.969013,24,45.818966
-15.575645,13,45.860916
-18.765328,17,45.915871
-20.510795,19,45.977036
-24.788212,20,46.041818
-21.928905,18,46.101021
-9.093689,10,46.133623
-17.488653,19,46.196012
-12.770226,19,46.257787
-14.642567,21,46.32592
-8.910797,9,46.355146
-17.299665,14,46.401153
-12.154379,11,46.437661
-18.069081,21,46.505974
-15.776999,15,46.555943
-8.937709,9,46.586014
-10.864183,10,46.619012
-10.396061,11,46.65546
-19.050558,15,46.704294
-4.094558,7,46.727261
-22.032415,17,46.782289
-17.469983,14,46.827689
-13.581979,12,46.867389
-15.83262,14,46.912913
-13.226947,16,46.964422
-31.939226,24,47.06414
-12.368306,12,47.104776
-13.62057,15,47.154371
-13.780657,12,47.193937
-5.432435,13,47.237203
-18.809463,15,47.286064
-16.016794,14,47.331424
-15.68084,13,47.373953
-15.270902,13,47.415752
-14.27822,20,47.481008
-16.568772,19,47.542268
-23.12898,18,47.601894
-12.89192,14,47.647858
-12.911269,17,47.703342
-13.9976,24,47.781366
-14.993646,24,47.85958
-14.108066,13,47.901553
-6.062937,10,47.934025
-6.749889,8,47.960663
-10.259387,10,47.993021
-15.619705,14,48.038255
-10.093746,10,48.071387
-11.387387,14,48.117056
-7.823236,24,48.194765
-18.233087,23,48.269584
-21.010914,21,48.338137
-22.149272,18,48.3964
-16.065087,18,48.455192
-0.657046,5,48.471506
-5.365218,10,48.503708
-4.694637,12,48.542443
-12.391705,11,48.579821
-19.525553,18,48.639098
-17.720863,19,48.701708
-15.535802,13,48.743853
-7.672888,24,48.822503
-19.13148,15,48.871548
-12.559034,13,48.914128
-15.394307,13,48.956723
-17.345209,24,49.057588
-6.237634,11,49.095678
-17.302725,14,49.14237
-20.674549,18,49.202059
-19.136179,15,49.251603
-10.01817,18,49.310502
-16.162892,19,49.37227
-14.029423,13,49.414735
-29.77621,22,49.486222
-9.149063,10,49.51902
-9.338167,11,49.555248
-12.974485,14,49.601211
-19.801852,21,49.771295
-17.646294,16,49.823499
-7.473344,9,49.852883
-15.941059,13,49.895859
-29.728562,24,49.973824
-15.902331,14,50.020055
-10.828437,10,50.052687
-15.230691,17,50.108644
-14.255914,13,50.151387
-19.059963,18,50.209539
-5.726075,7,50.232931
-12.309377,11,50.269149
-12.496428,12,50.307889
-15.619925,14,50.353311
-15.119479,24,50.430856
-31.808958,24,50.508815
-17.534186,14,50.554543
-17.502443,15,50.604735
-15.366068,13,50.646603
-12.753064,15,50.695136
-9.184062,9,50.724998
-13.789298,21,50.795032
-22.769161,20,50.862586
-19.896153,24,50.940565
-15.326641,13,50.983442
-20.954145,24,51.061441
-17.057358,14,51.107685
-17.344084,15,51.156285
-15.58835,13,51.198666
-20.453974,16,51.250318
-17.908227,17,51.305435
-20.324398,16,51.357102
-17.461222,24,51.434752
-13.705363,12,51.473771
-12.809739,15,51.521839
-26.563923,21,51.59073
-5.208019,13,51.632879
-15.689128,14,51.678701
-13.987521,12,51.717441
-5.651205,7,51.739969
-12.718677,12,51.778912
